date,state,coronavirus,mask,sanitizer,toilet paper,positive,positiveIncrease,negative,negativeIncrease,pending,total,totalTestResultsIncrease,recovered,death,deathIncrease,hospitalizedCumulative,hospitalizedIncrease,total_hospital_beds,available_hospital_beds,hospital_bed_occupancy_rate,total_icu_beds,available_icu_beds,icu_bed_occupancy_rate,adult_population,population_65,home
2020-01-01,AK,0,167,1,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-02,AK,0,258,9,24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-03,AK,1,227,10,11,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-04,AK,0,270,8,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-05,AK,0,257,11,146,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-06,AK,0,258,11,27,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-07,AK,1,259,6,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-08,AK,5,415,22,42,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-09,AK,14,447,17,38,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-10,AK,2,451,20,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-11,AK,7,381,17,63,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-12,AK,7,576,20,32,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-13,AK,12,444,19,180,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-14,AK,7,392,25,40,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-15,AK,5,186,19,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-16,AK,32,221,9,30,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-17,AK,32,158,9,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-18,AK,56,208,9,16,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-19,AK,26,203,8,42,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-20,AK,112,168,10,36,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-21,AK,709,190,6,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-22,AK,541,95,7,11,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-23,AK,513,98,7,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-24,AK,967,103,2,12,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-25,AK,1275,130,7,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-26,AK,1346,137,4,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-27,AK,1534,123,5,14,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-28,AK,1713,132,7,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-29,AK,1440,97,8,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-30,AK,1125,92,10,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-01-31,AK,1085,113,5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-02-01,AK,892,94,8,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-02-02,AK,749,96,1,23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-02-03,AK,679,87,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
2020-02-04,AK,631,86,4,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,533,0.66,130,55,0.58,552319,74340,0
