State,Abbrev,Code,Country,geo
Alabama,Ala.,AL,US,US-AL
Alaska,Alaska,AK,US,US-AK
Arizona,Ariz.,AZ,US,US-AZ
Arkansas,Ark.,AR,US,US-AR
California,Calif.,CA,US,US-CA
Colorado,Colo.,CO,US,US-CO
Connecticut,Conn.,CT,US,US-CT
Delaware,Del.,DE,US,US-DE
District of Columbia,D.C.,DC,US,US-DC
Florida,Fla.,FL,US,US-FL
Georgia,Ga.,GA,US,US-GA
Hawaii,Hawaii,HI,US,US-HI
Idaho,Idaho,ID,US,US-ID
Illinois,Ill.,IL,US,US-IL
Indiana,Ind.,IN,US,US-IN
Iowa,Iowa,IA,US,US-IA
Kansas,Kans.,KS,US,US-KS
Kentucky,Ky.,KY,US,US-KY
Louisiana,La.,LA,US,US-LA
Maine,Maine,ME,US,US-ME
Maryland,Md.,MD,US,US-MD
Massachusetts,Mass.,MA,US,US-MA
Michigan,Mich.,MI,US,US-MI
Minnesota,Minn.,MN,US,US-MN
Mississippi,Miss.,MS,US,US-MS
Missouri,Mo.,MO,US,US-MO
Montana,Mont.,MT,US,US-MT
Nebraska,Nebr.,NE,US,US-NE
Nevada,Nev.,NV,US,US-NV
New Hampshire,N.H.,NH,US,US-NH
New Jersey,N.J.,NJ,US,US-NJ
New Mexico,N.M.,NM,US,US-NM
New York,N.Y.,NY,US,US-NY
North Carolina,N.C.,NC,US,US-NC
North Dakota,N.D.,ND,US,US-ND
Ohio,Ohio,OH,US,US-OH
Oklahoma,Okla.,OK,US,US-OK
Oregon,Ore.,OR,US,US-OR
Pennsylvania,Pa.,PA,US,US-PA
Rhode Island,R.I.,RI,US,US-RI
South Carolina,S.C.,SC,US,US-SC
South Dakota,S.D.,SD,US,US-SD
Tennessee,Tenn.,TN,US,US-TN
Texas,Tex.,TX,US,US-TX
Utah,Utah,UT,US,US-UT
Vermont,Vt.,VT,US,US-VT
Virginia,Va.,VA,US,US-VA
Washington,Wash.,WA,US,US-WA
West Virginia,W.Va.,WV,US,US-WV
Wisconsin,Wis.,WI,US,US-WI
Wyoming,Wyo.,WY,US,US-WY
